text,emotion
I am just okay.,Normal
I am feeling pretty normal.,Normal
I always knew that I laughed until my stomach hurt with the manager today. I don't know what to do.,Happy
"Thinking about it now, I took the usual route to the outcome this morning. I'm still processing everything.",Normal
"At this point, I updated my schedule and moved a few tasks around.",Normal
I am not sad.,Happy
"At this point, I made a list of things I need to get done this week. I don't know what to do.",Normal
"I have to say, I stared at old photos of he and just wept. It's just too much.",Sad
Average.,Normal
"Right now, I spent the afternoon organizing some files on my computer. Just needed to share this.",Normal
I feel gloomy.,Sad
"Thinking about it now, I cried myself to sleep again last night because of the presentation. I'll figure it out.",Sad
My eyes are swollen from all the crying I've done this week. It is what it is.,Sad
"Honestly, they surprised me today and I couldn't stop smiling all day. I'm still processing everything.",Happy
"I have to say, I can't believe my colleague did that to me, it's completely thoughtless! It is what it is.",Anger
"Somehow, my mentor left without saying goodbye and it broke me. It is what it is.",Sad
"Somehow, Today marks the happiest day of my life because of the results. I'll figure it out.",Happy
"I was angry, then sad, and now I just feel exhausted.",Sad
"At this point, I am absolutely seething at what my mentor just did. Life goes on, I suppose.",Anger
I just realized the game turned out even better than I ever imagined it would.,Happy
"To be honest, Everything reminds me of the doctor and the pain comes flooding back. It is what it is.",Sad
Losing the manager has left a hole in my heart that won't heal. I needed to get that off my chest.,Sad
I am not calm.,Anger
"I literally can't rn, I'm so angry.",Anger
"To be honest, I feel so alive and energized, everything feels right in the world. I don't know what to do.",Happy
I need to vent — I can't stand how my friend always acts so inconsiderate.,Anger
"To be honest, I went for a walk in the evening to clear my head a bit. I'll figure it out.",Normal
I am feeling plain today.,Normal
"At this point, The weather was pretty average today, not too hot or cold. It is what it is.",Normal
"They promised and didn't deliver, I'm completely done.",Anger
I always knew that I feel content and at peace with where my life is right now. I'll figure it out.,Happy
I just realized We had a standard team meeting to go over the week's tasks. It's just too much.,Normal
No one told me but We had a standard team meeting to go over the week's tasks. And that's just how it is.,Normal
I slammed the door so hard when my supervisor said that ridiculous thing. And that's just how it is.,Anger
I am just doing my thing.,Normal
This is making me angry.,Anger
"Somehow, Nothing feels the same since the process occurred. It is what it is.",Sad
"Looking back, I reminded they about the appointment scheduled for Friday. Life goes on, I suppose.",Normal
I feel balanced.,Normal
"No one told me but my brother was my whole world and now I don't know who I am. Life goes on, I suppose.",Sad
This whole the trip is a disaster and I'm absolutely fuming.,Anger
I'm kinda sad but trying to be okay.,Sad
The afternoon was quiet and I got some reading done. And that's just how it is.,Normal
"To be honest, The loneliness after the conference is something I wasn't prepared for.",Sad
"Thinking about it now, I spent the afternoon organizing some files on my computer. I needed to get that off my chest.",Normal
Why do I feel so lucky?,Happy
I finished my project and it turned out even better than I hoped.,Happy
I am extremely angry.,Anger
I am totally normal.,Normal
I just realized the interview turned out even better than I ever imagined it would.,Happy
"To be honest, my neighbor never listens and it drives me absolutely insane. I'll figure it out.",Anger
I confronted the manager about this because enough is enough.,Anger
"Somehow, I spent the afternoon organizing some files on my computer. It's just too much.",Normal
I feel like a part of me died when work happened. Just needed to share this.,Sad
Ngl I'm really pissed.,Anger
"I'm absolutely thrilled about the office, it's the best news ever! I don't know what to do.",Happy
"Honestly, I wish I could turn back time and prevent the results from happening. I don't know what to do.",Sad
I am extremely angry.,Anger
The way my teammate handled the decision was completely unacceptable. It's just too much.,Anger
I always knew that I woke up at my usual time and started the day normally. It is what it is.,Normal
"Thinking about it now, I replied to some messages and scheduled a few meetings.",Normal
Mad.,Anger
"Thinking about it now, I confronted my teammate about this because enough is enough. And that's just how it is.",Anger
"To be honest, I danced around the room when I heard the amazing news. I'm still processing everything.",Happy
I am absolutely fine.,Normal
I am not well.,Sad
My patience has completely run out with this the interview. Just needed to share this.,Anger
I am blue today.,Sad
I feel very down.,Sad
they sent a routine update and I acknowledged it. I don't know what to do.,Normal
"Honestly, The grief I feel from the exam is overwhelming me. Life goes on, I suppose.",Sad
No one told me but I wish I could turn back time and prevent the outcome from happening.,Sad
"Right now, Seeing my neighbor's belongings just makes the sadness worse. It is what it is.",Sad
No one told me but My heart aches deeply and I don't know how to stop the pain. I'm still processing everything.,Sad
I am feeling so wonderful.,Happy
"Thinking about it now, I feel so lucky to experience this kind of happiness right now.",Happy
"Right now, The injustice of this the situation makes me want to scream.",Anger
"The joy I feel from the situation is something I'll never forget. Life goes on, I suppose.",Happy
I am entirely alright.,Normal
"I can't stand how my partner always acts so maddening. Life goes on, I suppose.",Anger
I am not feeling strongly.,Normal
I always knew that I can't stop the tears whenever I think about the exam. It's just too much.,Sad
I am fantastically happy.,Happy
I woke up at my usual time and started the day normally. I'll figure it out.,Normal
I am not cheerful.,Sad
"At this point, The world feels grey and meaningless since the outcome.",Sad
I am just okay.,Normal
"At this point, There wasn't much happening today, just the usual routine. It's just too much.",Normal
"To be honest, I feel so grateful and blessed to have my roommate in my life. Life goes on, I suppose.",Happy
I cannot calm down.,Anger
I feel enraged.,Anger
"Somehow, The silence in the house since work is unbearable.",Sad
I feel regular.,Normal
"Right now, Everything reminds me of my neighbor and the pain comes flooding back.",Sad
"At this point, Why does my boss always find a way to ruin everything? Just needed to share this.",Anger
Why can't I stop smiling?,Happy
"I'm absolutely thrilled about the deadline, it's the best news ever! It is what it is.",Happy
"Thinking about it now, I'm so happy I feel like I could burst, this is incredible!",Happy
"No one told me but my supervisor really crossed the line this time, I'm livid.",Anger
"Somehow, she never listens and it drives me absolutely insane.",Anger
I am on cloud nine.,Happy
"Thinking about it now, Things at the competition have been going pretty smoothly lately. I don't know what to do.",Normal
"I need to vent — I'm so frustrated with the exam, it makes my blood boil. I'll figure it out.",Anger
I am not excited.,Normal
I feel so low.,Sad
"Thinking about it now, Today reminded me how much beauty there is in everyday moments. I'll figure it out.",Happy
I am utterly hopeless.,Sad
"I'm absolutely thrilled about the game, it's the best news ever! Life goes on, I suppose.",Happy
I am thoroughly sad.,Sad
"Thinking about it now, I want to bottle this feeling and keep it with me forever. It is what it is.",Happy
the manager mentioned they might drop by later this week. I'll figure it out.,Normal
I just realized I keep grinning to myself thinking about how well the exam went. It's just too much.,Happy
I am not upset.,Normal
I'm losing my temper.,Anger
"To be honest, Waking up this morning I felt pure joy for the first time in ages. It is what it is.",Happy
I'm not feeling sad.,Normal
No one told me but my father is no longer here and I miss them so much. And that's just how it is.,Sad
I just realized my boss never listens and it drives me absolutely insane. And that's just how it is.,Anger
"Honestly, my mentor never listens and it drives me absolutely insane. It is what it is.",Anger
"Looking back, I feel so empty and hollow inside after what happened. I needed to get that off my chest.",Sad
"I have to say, my mentor really crossed the line this time, I'm livid.",Anger
I feel like I'm drowning in sorrow and can't find the surface. Just needed to share this.,Sad
The joy I feel from the conference is something I'll never forget.,Happy
I am so happy.,Happy
I completed my workout routine this morning.,Normal
I am totally normal.,Normal
I am not angry at all.,Normal
I am laughing.,Happy
I feel content and at peace with where my life is right now. I needed to get that off my chest.,Happy
"I have to say, I yelled because I couldn't contain my frustration anymore.",Anger
"To be honest, The world feels grey and meaningless since the conference. And that's just how it is.",Sad
I found out I'm going to be an aunt and I'm over the moon.,Happy
I hugged my roommate tight and felt so much love and warmth. It's just too much.,Happy
"Right now, I threw the papers across the room when I heard the news. I'll figure it out.",Anger
"Somehow, The weather was pretty average today, not too hot or cold. I'm still processing everything.",Normal
"Right now, Today reminded me how much beauty there is in everyday moments. I needed to get that off my chest.",Happy
No one told me but I grabbed lunch and worked through some pending items. I'm still processing everything.,Normal
"No one told me but I feel so alive and energized, everything feels right in the world. I'll figure it out.",Happy
"I have to say, I laughed until my stomach hurt with my teammate today.",Happy
"Thinking about it now, my brother called me this afternoon and we talked for a while.",Normal
I threw the papers across the room when I heard the news. And that's just how it is.,Anger
"To be honest, Today marks the happiest day of my life because of the project. I'm still processing everything.",Happy
I am fine.,Normal
"Right now, I finished my work for the day and had some dinner. I don't know what to do.",Normal
"I have to say, The silence in the house since the deadline is unbearable. I'm still processing everything.",Sad
"Honestly, The joy I feel from the trip is something I'll never forget.",Happy
I stormed out of the room furious.,Anger
The afternoon was quiet and I got some reading done. I'm still processing everything.,Normal
I am truly furious.,Anger
I am thrilled.,Happy
I am boiling mad.,Anger
The relationship ended and I feel like a part of me died.,Sad
Gloomy.,Sad
"Honestly, I am absolutely seething at what my friend just did. Just needed to share this.",Anger
I need to vent — Waking up this morning I felt pure joy for the first time in ages. It's just too much.,Happy
"Somehow, The weather was pretty average today, not too hot or cold. It's just too much.",Normal
I always knew that my teacher is no longer here and I miss them so much. I'm still processing everything.,Sad
"Thinking about it now, I feel so lucky to experience this kind of happiness right now.",Happy
"I always knew that Every time I think about what happened, I get even more angry.",Anger
"Thinking about it now, I'm absolutely thrilled about the situation, it's the best news ever! I don't know what to do.",Happy
I always knew that I feel like I'm drowning in sorrow and can't find the surface.,Sad
I am devastated.,Sad
"Thinking about it now, The world feels grey and meaningless since the exam. I needed to get that off my chest.",Sad
The silence in the house since school is unbearable.,Sad
I am beyond furious.,Anger
The day was uneventful but productive enough overall. And that's just how it is.,Normal
I always knew that my neighbor left without saying goodbye and it broke me. And that's just how it is.,Sad
my roommate sent a routine update and I acknowledged it. It is what it is.,Normal
"To be honest, I've been crying all day thinking about the outcome. Just needed to share this.",Sad
"I just realized they called me this afternoon and we talked for a while. Life goes on, I suppose.",Normal
I feel grateful.,Happy
I always knew that The afternoon was quiet and I got some reading done. I'll figure it out.,Normal
I just realized My heart aches deeply and I don't know how to stop the pain. It is what it is.,Sad
I am gloomy.,Sad
my roommate never listens and it drives me absolutely insane. It is what it is.,Anger
I finished my work for the day and had some dinner. Just needed to share this.,Normal
I've been crying all day thinking about the situation. I needed to get that off my chest.,Sad
"Looking back, I miss the way things used to be before all of this happened. Life goes on, I suppose.",Sad
I am not worried.,Normal
I need to vent — That was the most unfair thing they could have ever done.,Anger
I am hurting.,Sad
I am overjoyed.,Happy
I am outraged.,Anger
"Looking back, This whole the outcome is a disaster and I'm absolutely fuming. It is what it is.",Anger
"I have to say, I shared the good news with my colleague and we celebrated together. And that's just how it is.",Happy
"At this point, the project turned out even better than I ever imagined it would. And that's just how it is.",Happy
"I made a list of things I need to get done this week. Life goes on, I suppose.",Normal
"I have to say, This the project has pushed me past my breaking point.",Anger
"At this point, I reminded my teammate about the appointment scheduled for Friday. I'm still processing everything.",Normal
"Right now, I spent the afternoon organizing some files on my computer.",Normal
I wish I could turn back time and prevent the situation from happening. I'm still processing everything.,Sad
"How dare my brother treat me this way, I'm beyond angry.",Anger
the doctor surprised me today and I couldn't stop smiling all day. I needed to get that off my chest.,Happy
I feel light.,Happy
Every little thing today felt magical and full of possibility. It's just too much.,Happy
I am fed up.,Anger
Why does this make me so mad?,Anger
I am good.,Normal
The commute was about the same as usual today. Just needed to share this.,Normal
I don't feel like eating or talking to anyone right now. Just needed to share this.,Sad
"I have to say, I danced around the room when I heard the amazing news. It is what it is.",Happy
I just realized The sheer nerve of my partner to do that after everything I've done. I'll figure it out.,Anger
No one told me but I finished my work for the day and had some dinner. Just needed to share this.,Normal
I sat under the shower and let the tears mix with the water.,Sad
The call came through this afternoon and I had to sit down because I was shaking with happiness.,Happy
I feel terrible.,Sad
I updated my schedule and moved a few tasks around. I'm still processing everything.,Normal
I'm neutral.,Normal
I don't feel great.,Sad
I just realized I checked in with my colleague and everything seems to be in order. I needed to get that off my chest.,Normal
I feel so empty and hollow inside after what happened.,Sad
"I spent the afternoon organizing some files on my computer. Life goes on, I suppose.",Normal
Every breath feels heavier than the last.,Sad
"Right now, That was the most unfair thing my coworker could have ever done.",Anger
I am intensely joyful.,Happy
"Looking back, The injustice of this the conference makes me want to scream.",Anger
"Somehow, I feel utterly alone and abandoned by everyone around me. I needed to get that off my chest.",Sad
My heart aches deeply and I don't know how to stop the pain.,Sad
I just realized I can't forgive my colleague for what they did to the competition.,Anger
Why do I feel so joyful?,Happy
I am done with this.,Anger
"Someone talked over me the entire meeting, so disrespectful.",Anger
"At this point, I yelled because I couldn't contain my frustration anymore. I'll figure it out.",Anger
"Looking back, The injustice of this work makes me want to scream. I'm still processing everything.",Anger
I need to vent — I confronted she about this because enough is enough. I'll figure it out.,Anger
I'm highkey mad.,Anger
"my friend really crossed the line this time, I'm livid. Life goes on, I suppose.",Anger
My anger is completely justified given what my neighbor did. I needed to get that off my chest.,Anger
I am joyful.,Happy
"I'm so frustrated with the conference, it makes my blood boil. I needed to get that off my chest.",Anger
I am filled with sadness.,Sad
my teammate told me they love me and I felt like I was floating. It is what it is.,Happy
"No one told me but I just sat in the dark, too sad to move or do anything. Just needed to share this.",Sad
"To be honest, This whole the deadline is a disaster and I'm absolutely fuming. Life goes on, I suppose.",Anger
"Right now, Today was such a wonderful day, everything went perfectly. I needed to get that off my chest.",Happy
"At this point, I've been grieving this loss for weeks and it hasn't gotten easier.",Sad
"To be honest, I want to bottle this feeling and keep it with me forever.",Happy
"To be honest, I went to the store today to pick up a few things we needed. And that's just how it is.",Normal
I scheduled some appointments for next week.,Normal
"After everything I've done for them, this is how they treat me? I am absolutely furious and I have every right to be.",Anger
I was passed over for the promotion and I am beyond angry.,Anger
"I did my usual morning routine, went to work, came home, had dinner — a perfectly normal day.",Normal
"my friend made me laugh so hard today, I love spending time together. Life goes on, I suppose.",Happy
I am boiling mad.,Anger
I can't stand how they always acts so thoughtless. I don't know what to do.,Anger
Not okay. I'm mad.,Anger
I am doing fine.,Normal
"To be honest, The smile on my face hasn't faded since the event happened. It's just too much.",Happy
I always knew that The sheer nerve of my colleague to do that after everything I've done. I'll figure it out.,Anger
I'm so sad I can't even explain it.,Sad
"Right now, The day ended without any major issues or surprises. Life goes on, I suppose.",Normal
"At this point, the doctor really crossed the line this time, I'm livid. I needed to get that off my chest.",Anger
I feel indifferent.,Normal
"Honestly, I laughed until my stomach hurt with the manager today. And that's just how it is.",Happy
I feel blessed.,Happy
"To be honest, I woke up at my usual time and started the day normally. I needed to get that off my chest.",Normal
I am feeling neutral today.,Normal
"Not happy, not sad.",Normal
Just another day.,Normal
"I always knew that The afternoon was quiet and I got some reading done. Life goes on, I suppose.",Normal
"Somehow, My patience has completely run out with this the trip. Just needed to share this.",Anger
"Looking back, I'm not overreacting, my supervisor genuinely behaved reckless. I don't know what to do.",Anger
"Thinking about it now, I don't feel like eating or talking to anyone right now. And that's just how it is.",Sad
"Looking back, Getting the exam was a dream come true, I'm overjoyed. I'll figure it out.",Happy
Why do I feel so great?,Happy
I woke up at my usual time and started the day normally.,Normal
"Right now, I laughed until my stomach hurt with my neighbor today. It's just too much.",Happy
"Honestly, I miss the way things used to be before all of this happened. And that's just how it is.",Sad
I am outraged.,Anger
I feel great.,Happy
I am doing alright.,Normal
"At this point, I can't forgive my mentor for what they did to the results.",Anger
The loneliness after work is something I wasn't prepared for. It's just too much.,Sad
I am consistently normal.,Normal
I am terribly sad.,Sad
"Somehow, The project at the exam is moving along at a steady pace. It's just too much.",Normal
The grief hit me out of nowhere today — I was just going about my day and suddenly I couldn't stop crying.,Sad
"I have to say, The commute was about the same as usual today. Just needed to share this.",Normal
I am managing okay.,Normal
"Thinking about it now, she surprised me today and I couldn't stop smiling all day. Just needed to share this.",Happy
I always knew that I feel hopeless and don't know how things will ever get better. It's just too much.,Sad
I am okay.,Normal
"I need to vent — This is absolutely thoughtless, I'm so furious right now. It is what it is.",Anger
I am not okay.,Anger
I am overwhelmingly sad.,Sad
"Looking back, I read a book for a bit before going to bed last night.",Normal
"To be honest, I stared at old photos of my father and just wept.",Sad
I am feeling like myself.,Normal
I am overwhelmingly sad.,Sad
"Somehow, The grief I feel from the process is overwhelming me.",Sad
"Looking back, My anger is completely justified given what he did. And that's just how it is.",Anger
"At this point, I feel content and at peace with where my life is right now. And that's just how it is.",Happy
"I have to say, I feel hopeless and don't know how things will ever get better. I'll figure it out.",Sad
I'm so done!,Anger
I've been grieving this loss for weeks and it hasn't gotten easier. It's just too much.,Sad
my colleague mentioned they might drop by later this week. I'm still processing everything.,Normal
I am sad.,Sad
"Honestly, my colleague called me this afternoon and we talked for a while. Just needed to share this.",Normal
I feel pure rage right now.,Anger
I need to vent — My heart is full of joy after what happened with the decision. It is what it is.,Happy
I am deeply heartbroken.,Sad
I am crushed.,Sad
my supervisor is no longer here and I miss them so much.,Sad
"Right now, I laughed until my stomach hurt with they today. It's just too much.",Happy
"I have to say, The world feels grey and meaningless since the process. Life goes on, I suppose.",Sad
"I have to say, my friend mentioned they might drop by later this week. I needed to get that off my chest.",Normal
"At this point, I shared the good news with the manager and we celebrated together.",Happy
I always knew that I feel so empty and hollow inside after what happened. I don't know what to do.,Sad
I'm okay.,Normal
I feel worthless.,Sad
I feel fine today.,Normal
I always knew that Nothing feels the same since the situation occurred.,Sad
"Thinking about it now, I slammed the door so hard when my teammate said that ridiculous thing. It's just too much.",Anger
I feel so low.,Sad
"Thinking about it now, I replied to some messages and scheduled a few meetings. Just needed to share this.",Normal
I am not that happy.,Normal
I am so unhappy.,Sad
"Somehow, I feel hopeless and don't know how things will ever get better. Life goes on, I suppose.",Sad
"Honestly, I went to the store today to pick up a few things we needed. Life goes on, I suppose.",Normal
I always knew that My eyes are swollen from all the crying I've done this week.,Sad
"Right now, Today was such a wonderful day, everything went perfectly. I'll figure it out.",Happy
"Thinking about it now, My patience has completely run out with this the project. Life goes on, I suppose.",Anger
"Honestly, I went for a walk in the evening to clear my head a bit. And that's just how it is.",Normal
"Right now, I've been crying all day thinking about the outcome. Just needed to share this.",Sad
"Thinking about it now, I talked briefly with the manager about the upcoming plans. I'll figure it out.",Normal
"At this point, The commute was about the same as usual today. Life goes on, I suppose.",Normal
I feel moderate.,Normal
I am delighted.,Happy
"Thinking about it now, I stared at old photos of the manager and just wept. And that's just how it is.",Sad
Why does sadness feel so heavy?,Sad
I cried myself to sleep again last night because of the situation. I needed to get that off my chest.,Sad
I am feeling pretty normal.,Normal
"Getting work was a dream come true, I'm overjoyed. I'll figure it out.",Happy
"I just realized This is absolutely maddening, I'm so furious right now. Life goes on, I suppose.",Anger
"Right now, The smile on my face hasn't faded since the situation happened. And that's just how it is.",Happy
"Somehow, I wish I could turn back time and prevent the decision from happening.",Sad
I hate everything right now.,Anger
I'm beaming with pride over what I accomplished with the outcome.,Happy
I am truly furious.,Anger
"This is sending me, I'm so happy.",Happy
"Right now, I don't feel like eating or talking to anyone right now. It is what it is.",Sad
I am broken.,Sad
"To be honest, Every time I think about what happened, I get even more angry.",Anger
The test results came back clear and I burst into tears of relief.,Happy
No one told me but The silence in the house since the office is unbearable.,Sad
"I just realized Getting the conference was a dream come true, I'm overjoyed. Life goes on, I suppose.",Happy
I feel amazing.,Happy
No one told me but That was the most irresponsible thing my father could have ever done. Just needed to share this.,Anger
"At this point, I'm so mad I haven't been able to sleep thinking about school. I needed to get that off my chest.",Anger
