"text","emotion","thinking_pattern","cognitive_bias","confidence_level"
"just got the greenlight on the project absolutely thrilled","excitement","confident","none","0.93"
"I always end up saying the wrong thing at the wrong time","sad","self-doubt","overgeneralization","0.21"
"I'm so angry at myself for letting that happen","angry","emotional","personalization","0.3"
"what if the symptoms mean something really serious","fear","overthinking","catastrophizing","0.2"
"I monitor feedback loops and adapt my strategy accordingly","neutral","logical","none","0.81"
"I finally believe in myself and its such a good feeling","happy","confident","none","0.88"
"I think I'm fundamentally too sensitive for this industry","sad","self-doubt","negative_bias","0.26"
"I keep running through scenarios in my head but no answer comes","neutral","overthinking","none","0.38"
"what if everything I've built collapses overnight","fear","overthinking","catastrophizing","0.19"
"I lead with empathy and execute with precision","neutral","confident","none","0.84"
"first time traveling internationally alone and absolutely loving it","excitement","confident","none","0.9"
"I always make things harder than they need to be","sad","self-doubt","overgeneralization","0.22"
"the disrespect from upper management is off the charts today","angry","emotional","none","0.36"
"what if we never get the funding we need","fear","overthinking","catastrophizing","0.22"
"I use structured problem-solving methods in all situations","neutral","logical","none","0.81"
"I'm radiant happy and fully alive today","happy","emotional","none","0.94"
"deep down I know I'm not really good at anything","sad","self-doubt","negative_bias","0.19"
"it blows my mind how incompetent this whole process is","frustration","emotional","none","0.32"
"what if changing jobs was a huge mistake","fear","overthinking","catastrophizing","0.23"
"I'm clear on my values and I live by them","neutral","confident","none","0.84"
"can't believe we actually pulled that off in three weeks","excitement","confident","none","0.92"
"every failure I have confirms I'm just not capable","sad","self-doubt","overgeneralization","0.2"
"nobody cares until it's too late as usual","angry","emotional","overgeneralization","0.34"
"what if my loneliness gets worse and never gets better","fear","overthinking","catastrophizing","0.2"
"I analyze outcomes before committing to a course of action","neutral","logical","none","0.8"
"this moment is exactly where I hoped I'd be at this age","happy","emotional","none","0.91"
"I think I ruin everything I get excited about","sad","self-doubt","negative_bias","0.22"
"every time I push back I'm the one who looks bad","angry","emotional","personalization","0.33"
"what if they never see how much effort I've put in","fear","overthinking","catastrophizing","0.24"
"I make evidence-based decisions without second-guessing myself","neutral","logical","none","0.83"
"my team threw me a surprise and I genuinely cried happy tears","happy","emotional","none","0.93"
"I feel invisible in my own workplace sometimes","sad","self-doubt","negative_bias","0.26"
"this fire has been burning for weeks and nobody is fixing it","frustration","emotional","none","0.31"
"what if this conflict tears the whole team apart","fear","overthinking","catastrophizing","0.22"
"I've been in tougher spots and always found a way forward","neutral","confident","none","0.84"
"I love watching people I've mentored grow and succeed","happy","emotional","none","0.89"
"I've probably been the difficult one all along","sad","self-doubt","personalization","0.24"
"this is beyond frustrating now its genuinely offensive","angry","emotional","none","0.35"
"what if I can't perform at this level long term","fear","overthinking","catastrophizing","0.23"
"I take calculated risks and own the results either way","neutral","confident","none","0.84"
"I crushed the pitch and the room was with me the whole time","excitement","confident","none","0.93"
"people only reach out when they need something from me","sad","emotional","overgeneralization","0.28"
"there is zero excuse for this level of incompetence","angry","emotional","none","0.37"
"what if I disappoint the mentor who believed in me","fear","overthinking","catastrophizing","0.22"
"I remain grounded and focused regardless of external pressure","neutral","logical","none","0.82"
"this milestone took two years to reach and it was so worth it","happy","confident","none","0.92"
"I cant remember the last time someone checked in on me","sad","emotional","none","0.28"
"I swear every system we use is fighting against us","frustration","emotional","overgeneralization","0.31"
"what if I have more bad days than good from here on","fear","overthinking","catastrophizing","0.21"
"I define clear success metrics for every initiative","neutral","logical","none","0.81"
"i wanna cry because I'm so happy right now","happy","emotional","none","0.95"
"I'm not sure I've ever truly done anything impressive","sad","self-doubt","negative_bias","0.24"
"I've had it no more tolerating this kind of treatment","angry","emotional","none","0.37"
"what if things never go back to the way they were","fear","overthinking","catastrophizing","0.22"
"I iterate and improve quickly based on what I learn","neutral","logical","none","0.82"
"helping someone else solve their problem today made my day","happy","emotional","none","0.87"
"im probably just not as resilient as other people","sad","self-doubt","negative_bias","0.26"
"this is a systemic failure not a one-off and its maddening","frustration","logical","none","0.55"
"what if nothing ever truly changes no matter what I do","fear","overthinking","catastrophizing","0.2"
"I align my daily actions with my long-term goals","neutral","logical","none","0.82"
"I feel so alive and creative this is what I live for","excitement","emotional","none","0.93"
"every chance I get I seem to find a way to blow it","sad","self-doubt","overgeneralization","0.2"
"I'm livid that they excluded me from that meeting again","angry","emotional","personalization","0.35"
"what if the people I love most eventually leave me","fear","overthinking","catastrophizing","0.21"
"I handle ambiguity by focusing on what I can control","neutral","logical","none","0.81"
"seeing all the hard work finally pay off is an indescribable feeling","happy","emotional","none","0.93"
"I think I care too much and it ends up hurting me","sad","emotional","none","0.35"
"I keep going over the same what-ifs in my head","neutral","overthinking","none","0.39"
"what if I wake up one day and regret all my choices","fear","overthinking","catastrophizing","0.22"
"I know how to motivate myself and push through tough stretches","neutral","confident","none","0.84"
"getting to do what I love every day still blows my mind","happy","confident","none","0.91"
"I don't think I'll ever be truly comfortable in my own skin","sad","self-doubt","overgeneralization","0.22"
"this level of chaos makes me genuinely furious","angry","emotional","none","0.36"
"what if the change I made sets off a chain of bad events","fear","overthinking","catastrophizing","0.22"
"I model uncertainty explicitly in my decision process","neutral","logical","none","0.8"
"I finally feel free from all the things that were weighing me down","happy","emotional","none","0.91"
"I bet nobody noticed all the extra hours I put in","sad","self-doubt","personalization","0.27"
"the constant shifting priorities are killing team morale","frustration","logical","none","0.57"
