text,emotion
"Honestly, I feel like I'm drowning in sorrow and can't find the surface. Life goes on, I suppose.",Sad
"I'm done tolerating this kind of behavior from they. Life goes on, I suppose.",Anger
I cannot calm down.,Anger
"I have to say, The afternoon was quiet and I got some reading done.",Normal
I am delighted.,Happy
"Looking back, The day ended without any major issues or surprises. I'll figure it out.",Normal
"To be honest, This whole the deadline is a disaster and I'm absolutely fuming. Life goes on, I suppose.",Anger
I always knew that my supervisor surprised me today and I couldn't stop smiling all day.,Happy
I always knew that my sister was my whole world and now I don't know who I am.,Sad
I am completely devastated.,Sad
"Thinking about it now, I feel utterly alone and abandoned by everyone around me.",Sad
"Thinking about it now, I can't stop the tears whenever I think about the interview. Just needed to share this.",Sad
"Honestly, I've had enough of my coworker disrespecting me every single day. I'm still processing everything.",Anger
"I just realized Nothing out of the ordinary happened today, just regular tasks.",Normal
"At this point, Some days the sadness is so heavy it's hard to breathe.",Sad
"At this point, I read a book for a bit before going to bed last night. I needed to get that off my chest.",Normal
I need to vent — I can't stand how my colleague always acts so thoughtless. I needed to get that off my chest.,Anger
"No one told me but Nothing out of the ordinary happened today, just regular tasks. I don't know what to do.",Normal
"Thinking about it now, I'm so angry I can barely think straight right now. Life goes on, I suppose.",Anger
"Thinking about it now, I grabbed lunch and worked through some pending items. I needed to get that off my chest.",Normal
I am not feeling strongly.,Normal
I am terribly sad.,Sad
My patience has completely run out with this the process. It's just too much.,Anger
I always knew that I'm beaming with pride over what I accomplished with the meeting. I'll figure it out.,Happy
I just realized I want to bottle this feeling and keep it with me forever. I'll figure it out.,Happy
I always knew that Why does they always find a way to ruin everything?,Anger
"The joy I feel from the outcome is something I'll never forget. Life goes on, I suppose.",Happy
I need to vent — Some days the sadness is so heavy it's hard to breathe. I'm still processing everything.,Sad
"Honestly, Getting the competition was a dream come true, I'm overjoyed. It's just too much.",Happy
"Looking back, I took the usual route to the deadline this morning. I needed to get that off my chest.",Normal
I need to vent — Every single day it's the same inconsiderate behavior from my supervisor. Just needed to share this.,Anger
"Right now, I keep reaching for my phone to call my friend and then remember. I'll figure it out.",Sad
This the outcome has pushed me past my breaking point. I'll figure it out.,Anger
I am deeply heartbroken.,Sad
I am tremendously happy.,Happy
"Seeing they's belongings just makes the sadness worse. Life goes on, I suppose.",Sad
I cannot calm down.,Anger
I slammed the door so hard when my teammate said that ridiculous thing.,Anger
"Honestly, The weather was pretty average today, not too hot or cold.",Normal
"Somehow, I read a book for a bit before going to bed last night. Just needed to share this.",Normal
"I need to vent — That meeting was a complete waste of time, I'm so irritated.",Anger
I am not joyful.,Sad
I am pissed off.,Anger
the trip turned out even better than I ever imagined it would.,Happy
"Thinking about it now, I've been grieving this loss for weeks and it hasn't gotten easier.",Sad
"To be honest, I can't stand how the manager always acts so outrageous. It is what it is.",Anger
"Thinking about it now, This is absolutely disgraceful, I'm so furious right now.",Anger
I am doing okay.,Normal
I always knew that I yelled because I couldn't contain my frustration anymore.,Anger
I feel wonderful.,Happy
"I just realized The silence in the house since work is unbearable. Life goes on, I suppose.",Sad
Why am I so happy today?,Happy
"Somehow, Every little thing today felt magical and full of possibility. It's just too much.",Happy
"Thinking about it now, I feel so empty and hollow inside after what happened. I'll figure it out.",Sad
"To be honest, Today reminded me how much beauty there is in everyday moments. And that's just how it is.",Happy
No one told me but I feel so grateful and blessed to have they in my life.,Happy
"At this point, The way my neighbor handled work was completely unacceptable.",Anger
"Looking back, That was the most terrible thing she could have ever done. I needed to get that off my chest.",Anger
I always knew that I yelled because I couldn't contain my frustration anymore. Just needed to share this.,Anger
"I feel so alive and energized, everything feels right in the world. I'm still processing everything.",Happy
I am very unhappy.,Sad
"I have to say, I feel so lucky to experience this kind of happiness right now. I'm still processing everything.",Happy
I am completely okay.,Normal
"To be honest, I feel content and at peace with where my life is right now. I don't know what to do.",Happy
I am thoroughly sad.,Sad
I feel neither sad nor happy.,Normal
"Looking back, Life feels so beautiful and full of possibilities right now. I'm still processing everything.",Happy
I am not furious.,Normal
"Somehow, I want to bottle this feeling and keep it with me forever. It's just too much.",Happy
No one told me but I feel like I'm drowning in sorrow and can't find the surface.,Sad
I am glowing.,Happy
I am so done.,Anger
"At this point, I feel utterly alone and abandoned by everyone around me.",Sad
"There wasn't much happening today, just the usual routine. I'm still processing everything.",Normal
I want to bottle this feeling and keep it with me forever. It is what it is.,Happy
I am devastated.,Sad
I just realized The way my brother handled the event was completely unacceptable.,Anger
I feel so empty and hollow inside after what happened. And that's just how it is.,Sad
"Looking back, My anger is completely justified given what my teacher did. Just needed to share this.",Anger
I feel okay today.,Normal
I am content.,Happy
"Looking back, I reviewed some documents and provided my standard feedback. I'm still processing everything.",Normal
"Thinking about it now, I took the usual route to the situation this morning. I needed to get that off my chest.",Normal
The grief I feel from work is overwhelming me. It's just too much.,Sad
I always knew that I reminded my teacher about the appointment scheduled for Friday.,Normal
I just realized I took the usual route to the decision this morning. I needed to get that off my chest.,Normal
"Looking back, This the game has pushed me past my breaking point.",Anger
I am laughing.,Happy
I am seething.,Anger
I need to vent — Every single day it's the same outrageous behavior from my supervisor. I needed to get that off my chest.,Anger
No one told me but I threw the papers across the room when I heard the news. Just needed to share this.,Anger
"Looking back, The injustice of this the office makes me want to scream. I'm still processing everything.",Anger
I always knew that I'm so angry I can barely think straight right now. I'm still processing everything.,Anger
"I just realized my roommate made me laugh so hard today, I love spending time together. I needed to get that off my chest.",Happy
"I have to say, my father sent a routine update and I acknowledged it. I'll figure it out.",Normal
I am entirely alright.,Normal
I am not alright.,Sad
I need to vent — I made a list of things I need to get done this week. Just needed to share this.,Normal
"At this point, Things at the project have been going pretty smoothly lately. It's just too much.",Normal
I am depressed.,Sad
"Thinking about it now, My heart is full of joy after what happened with the game. Life goes on, I suppose.",Happy
"I'm not overreacting, my teacher genuinely behaved horrible. I don't know what to do.",Anger
"At this point, The world feels grey and meaningless since the situation. Just needed to share this.",Sad
I'm done tolerating this kind of behavior from she. I needed to get that off my chest.,Anger
"I have to say, The loneliness after the results is something I wasn't prepared for. And that's just how it is.",Sad
"I have to say, The unexpected kindness from my teacher made my entire week. I'm still processing everything.",Happy
"I have to say, I made some coffee and started going through my emails. I'm still processing everything.",Normal
I feel normal.,Normal
I always knew that I prepared a simple meal and watched some television. It is what it is.,Normal
"To be honest, I just sat in the dark, too sad to move or do anything.",Sad
"Somehow, My heart aches deeply and I don't know how to stop the pain. I'll figure it out.",Sad
I am extremely happy.,Happy
I keep reaching for my phone to call my sister and then remember.,Sad
I feel incredible.,Happy
My heart is full of joy after what happened with work. Just needed to share this.,Happy
I am sad.,Sad
"To be honest, Today reminded me how much beauty there is in everyday moments. It's just too much.",Happy
"There wasn't much happening today, just the usual routine. I needed to get that off my chest.",Normal
I am not lonely.,Normal
"Right now, I'm so frustrated with school, it makes my blood boil. Just needed to share this.",Anger
"Honestly, I confronted he about this because enough is enough.",Anger
"I always knew that I'm so frustrated with the outcome, it makes my blood boil.",Anger
I am not upset.,Normal
"At this point, I went to the store today to pick up a few things we needed. I needed to get that off my chest.",Normal
Things at the trip have been going pretty smoothly lately. I needed to get that off my chest.,Normal
"Right now, Losing my mentor has left a hole in my heart that won't heal. And that's just how it is.",Sad
The way my brother handled the interview was completely unacceptable. I'll figure it out.,Anger
Everything is falling into place and I couldn't be more grateful. And that's just how it is.,Happy
I am terrifyingly angry.,Anger
I always knew that Nothing feels the same since the event occurred. I don't know what to do.,Sad
I am blue today.,Sad
I am average today.,Normal
I'm so angry I can barely think straight right now. It's just too much.,Anger
"Thinking about it now, my father left without saying goodbye and it broke me. And that's just how it is.",Sad
Not okay. I'm mad.,Anger
"At this point, Things at the exam have been going pretty smoothly lately. Just needed to share this.",Normal
"I have to say, I'm so happy I feel like I could burst, this is incredible!",Happy
"Looking back, My patience has completely run out with this the interview. It's just too much.",Anger
The loneliness after the results is something I wasn't prepared for. I needed to get that off my chest.,Sad
I need to vent — I can't forgive my teacher for what they did to the office. And that's just how it is.,Anger
"At this point, Today was such a wonderful day, everything went perfectly. Just needed to share this.",Happy
I am feeling so wonderful.,Happy
"Thinking about it now, I'm not overreacting, the doctor genuinely behaved infuriating. I don't know what to do.",Anger
"Honestly, The sheer nerve of my father to do that after everything I've done.",Anger
"Somehow, I checked in with my teacher and everything seems to be in order. I'll figure it out.",Normal
I am beyond frustrated.,Anger
I am hurting.,Sad
I am not very happy.,Normal
"At this point, Waking up this morning I felt pure joy for the first time in ages.",Happy
"Thinking about it now, The sheer nerve of my teacher to do that after everything I've done. I'll figure it out.",Anger
No one told me but Why does my father always find a way to ruin everything? Just needed to share this.,Anger
I always knew that Today marks the happiest day of my life because of the event. I'm still processing everything.,Happy
I always knew that my father sent a routine update and I acknowledged it. I'm still processing everything.,Normal
No one told me but I don't feel like eating or talking to anyone right now.,Sad
I talked briefly with my coworker about the upcoming plans. Just needed to share this.,Normal
"Thinking about it now, The unexpected kindness from my neighbor made my entire week.",Happy
"Somehow, I can't forgive my brother for what they did to the competition.",Anger
I feel awful.,Sad
I always knew that I don't feel like eating or talking to anyone right now. It is what it is.,Sad
"Thinking about it now, I feel like I'm drowning in sorrow and can't find the surface. I'm still processing everything.",Sad
"Right now, I just sat in the dark, too sad to move or do anything. It is what it is.",Sad
I am deeply heartbroken.,Sad
I am not angry at all.,Normal
my roommate surprised me today and I couldn't stop smiling all day.,Happy
"Looking back, Nothing out of the ordinary happened today, just regular tasks. Just needed to share this.",Normal
"Honestly, I shared the good news with he and we celebrated together. I'll figure it out.",Happy
I am beyond furious.,Anger
"I have to say, I'm so frustrated with the game, it makes my blood boil. I'm still processing everything.",Anger
"To be honest, I feel content and at peace with where my life is right now.",Happy
I just realized I made some coffee and started going through my emails. I needed to get that off my chest.,Normal
I am tearful.,Sad
I need to vent — I feel so lucky to experience this kind of happiness right now.,Happy
I am not unhappy.,Happy
I need to vent — The world feels grey and meaningless since the game. Just needed to share this.,Sad
I feel so grateful and blessed to have my roommate in my life. And that's just how it is.,Happy
I feel neutral.,Normal
"Honestly, The unexpected kindness from my father made my entire week. Just needed to share this.",Happy
"To be honest, I made some coffee and started going through my emails. I'll figure it out.",Normal
"Honestly, I laughed until my stomach hurt with the manager today. And that's just how it is.",Happy
I don't feel okay.,Sad
I need to vent — I spent the afternoon organizing some files on my computer. I'm still processing everything.,Normal
I am pissed off.,Anger
"Right now, my neighbor is no longer here and I miss them so much. I don't know what to do.",Sad
I slammed the door so hard when my boss said that ridiculous thing. It is what it is.,Anger
"Somehow, I finished my work for the day and had some dinner. I'll figure it out.",Normal
"To be honest, I'm beaming with pride over what I accomplished with the situation. I'll figure it out.",Happy
"To be honest, I've been grieving this loss for weeks and it hasn't gotten easier. I'll figure it out.",Sad
I got the the game I've been working towards and I'm ecstatic! Just needed to share this.,Happy
"I always knew that my sister made me laugh so hard today, I love spending time together. Life goes on, I suppose.",Happy
"Thinking about it now, The weather was pretty average today, not too hot or cold.",Normal
"Right now, I replied to some messages and scheduled a few meetings. I'm still processing everything.",Normal
I need to vent — My heart is full of joy after what happened with the event. Just needed to share this.,Happy
"I always knew that Every time I think about what happened, I get even more angry. I'll figure it out.",Anger
I am not ecstatic.,Normal
"Right now, I want to bottle this feeling and keep it with me forever. I needed to get that off my chest.",Happy
I am extremely angry.,Anger
I feel unremarkable.,Normal
"Right now, Waking up this morning I felt pure joy for the first time in ages. Just needed to share this.",Happy
"Right now, I don't feel like eating or talking to anyone right now. I'm still processing everything.",Sad
"Honestly, Every single day it's the same disgraceful behavior from my supervisor.",Anger
I reminded my sister about the appointment scheduled for Friday.,Normal
Rage is all I feel.,Anger
I am broken.,Sad
"Somehow, I woke up at my usual time and started the day normally. Life goes on, I suppose.",Normal
"Looking back, The world feels grey and meaningless since the conference. Life goes on, I suppose.",Sad
"Honestly, I spent the afternoon organizing some files on my computer. It is what it is.",Normal
"I just realized Getting the exam was a dream come true, I'm overjoyed. I needed to get that off my chest.",Happy
"Honestly, I finished my work for the day and had some dinner. It is what it is.",Normal
"At this point, my teacher left without saying goodbye and it broke me. And that's just how it is.",Sad
"I have to say, I can't believe my brother did that to me, it's completely thoughtless! Just needed to share this.",Anger
"Right now, I spent the afternoon organizing some files on my computer.",Normal
"No one told me but I'm absolutely thrilled about the competition, it's the best news ever! I needed to get that off my chest.",Happy
"Right now, I made some coffee and started going through my emails. It's just too much.",Normal
I just realized The world feels grey and meaningless since the decision. I'm still processing everything.,Sad
"Honestly, I keep grinning to myself thinking about how well work went.",Happy
We had a standard team meeting to go over the week's tasks.,Normal
I slammed the door so hard when my brother said that ridiculous thing. I'll figure it out.,Anger
"my sister is no longer here and I miss them so much. Life goes on, I suppose.",Sad
I am profoundly sad.,Sad
"I always knew that I'm not overreacting, my supervisor genuinely behaved selfish. Just needed to share this.",Anger
"To be honest, my roommate left without saying goodbye and it broke me. And that's just how it is.",Sad
"Looking back, Nothing out of the ordinary happened today, just regular tasks. And that's just how it is.",Normal
I am fine.,Normal
"To be honest, This work has pushed me past my breaking point. I needed to get that off my chest.",Anger
"To be honest, I went to the store today to pick up a few things we needed. Life goes on, I suppose.",Normal
"Honestly, The sheer nerve of the manager to do that after everything I've done. I'm still processing everything.",Anger
I stared at old photos of she and just wept. And that's just how it is.,Sad
"To be honest, Today reminded me how much beauty there is in everyday moments. And that's just how it is.",Happy
My eyes are swollen from all the crying I've done this week. I don't know what to do.,Sad
I am ticked off.,Anger
I am broken.,Sad
I am completely livid.,Anger
I am ticked off.,Anger
"Thinking about it now, I miss the way things used to be before all of this happened. I needed to get that off my chest.",Sad
"Looking back, I feel so grateful and blessed to have my teacher in my life. I'll figure it out.",Happy
"Right now, Every little thing today felt magical and full of possibility. Just needed to share this.",Happy
"Somehow, I've been grieving this loss for weeks and it hasn't gotten easier. I needed to get that off my chest.",Sad
"Thinking about it now, The grief I feel from the situation is overwhelming me. I don't know what to do.",Sad
I am catastrophically sad.,Sad
I always knew that Things at the exam have been going pretty smoothly lately. It is what it is.,Normal
"Honestly, I feel utterly alone and abandoned by everyone around me.",Sad
"To be honest, My anger is completely justified given what my neighbor did.",Anger
"Right now, Everything is falling into place and I couldn't be more grateful. Just needed to share this.",Happy
"Getting the proposal was a dream come true, I'm overjoyed. I don't know what to do.",Happy
"At this point, I feel utterly alone and abandoned by everyone around me. It's just too much.",Sad
I cried myself to sleep again last night because of the exam. It is what it is.,Sad
"Right now, The weather was pretty average today, not too hot or cold.",Normal
I am very unhappy.,Sad
"I have to say, Every time I think about what happened, I get even more angry. I don't know what to do.",Anger
No one told me but my roommate told me they love me and I felt like I was floating. And that's just how it is.,Happy
I always knew that The grief I feel from the meeting is overwhelming me. I'm still processing everything.,Sad
This is infuriating.,Anger
"At this point, I've been grieving this loss for weeks and it hasn't gotten easier.",Sad
"Honestly, Losing my colleague has left a hole in my heart that won't heal. It's just too much.",Sad
"At this point, My eyes are swollen from all the crying I've done this week. I'll figure it out.",Sad
I am not happy at all.,Anger
I went for a walk in the evening to clear my head a bit. I needed to get that off my chest.,Normal
I always knew that The project at the exam is moving along at a steady pace. I'm still processing everything.,Normal
"Thinking about it now, my coworker mentioned they might drop by later this week. It is what it is.",Normal
I need to vent — I danced around the room when I heard the amazing news.,Happy
"Looking back, I got the the conference I've been working towards and I'm ecstatic! It is what it is.",Happy
"Somehow, I threw the papers across the room when I heard the news. I'll figure it out.",Anger
"Honestly, I feel so lucky to experience this kind of happiness right now. I'll figure it out.",Happy
"Looking back, I got the the conference I've been working towards and I'm ecstatic! It's just too much.",Happy
"To be honest, they mentioned they might drop by later this week. I don't know what to do.",Normal
Why can't I stop smiling?,Happy
No one told me but I danced around the room when I heard the amazing news. I'll figure it out.,Happy
"No one told me but my teammate made me laugh so hard today, I love spending time together. It's just too much.",Happy
"I have to say, I feel so empty and hollow inside after what happened. I'm still processing everything.",Sad
"I need to vent — I'm so happy I feel like I could burst, this is incredible! And that's just how it is.",Happy
"Somehow, I read a book for a bit before going to bed last night.",Normal
I am doing just fine.,Normal
"Right now, I've been crying all day thinking about the results. It is what it is.",Sad
I got the the situation I've been working towards and I'm ecstatic! It's just too much.,Happy
"This is absolutely infuriating, I'm so furious right now. Life goes on, I suppose.",Anger
I am sorrowful.,Sad
I am very pleased.,Happy
"Thinking about it now, my supervisor sent a routine update and I acknowledged it. I'm still processing everything.",Normal
"Honestly, The project at the situation is moving along at a steady pace. It's just too much.",Normal
"Right now, I'm done tolerating this kind of behavior from my teammate. Life goes on, I suppose.",Anger
The sheer nerve of he to do that after everything I've done.,Anger
"Looking back, This whole the trip is a disaster and I'm absolutely fuming. Just needed to share this.",Anger
The day was uneventful but productive enough overall. I needed to get that off my chest.,Normal
"To be honest, The day was uneventful but productive enough overall.",Normal
"I have to say, Getting the conference was a dream come true, I'm overjoyed.",Happy
The sheer nerve of my brother to do that after everything I've done. I'll figure it out.,Anger
"Looking back, I replied to some messages and scheduled a few meetings. I don't know what to do.",Normal
"I just realized The sheer nerve of she to do that after everything I've done. Life goes on, I suppose.",Anger
"Honestly, Some days the sadness is so heavy it's hard to breathe. Life goes on, I suppose.",Sad
"Looking back, I keep reaching for my phone to call my roommate and then remember. Life goes on, I suppose.",Sad
I have never been this angry.,Anger
I always knew that Why does my boss always find a way to ruin everything? I'm still processing everything.,Anger
"Honestly, This whole the project is a disaster and I'm absolutely fuming. It's just too much.",Anger
I need to vent — We had a standard team meeting to go over the week's tasks. I needed to get that off my chest.,Normal
I am average today.,Normal
I need to vent — Every single day it's the same reckless behavior from my mentor. I don't know what to do.,Anger
I feel amazing.,Happy
I am happy.,Happy
they sent a routine update and I acknowledged it. I don't know what to do.,Normal
"Right now, I'm not overreacting, my boss genuinely behaved irresponsible. I don't know what to do.",Anger
I've been grieving this loss for weeks and it hasn't gotten easier. It is what it is.,Sad
I am delighted.,Happy
I always knew that Losing the manager has left a hole in my heart that won't heal. Just needed to share this.,Sad
I can't stop being angry.,Anger
Life feels dark.,Sad
"Honestly, I'm not overreacting, my friend genuinely behaved inconsiderate. Just needed to share this.",Anger
I am mourning.,Sad
"To be honest, Waking up this morning I felt pure joy for the first time in ages. It is what it is.",Happy
I stared at old photos of she and just wept.,Sad
"To be honest, I went for a walk in the evening to clear my head a bit. I don't know what to do.",Normal
"I have to say, That meeting was a complete waste of time, I'm so irritated. Just needed to share this.",Anger
"Right now, Everything reminds me of my neighbor and the pain comes flooding back.",Sad
I always knew that he was my whole world and now I don't know who I am. It is what it is.,Sad
"I have to say, The unexpected kindness from my partner made my entire week. It is what it is.",Happy
I just realized the interview turned out even better than I ever imagined it would.,Happy
I am loving life.,Happy
I am so happy!,Happy
"To be honest, I updated my schedule and moved a few tasks around.",Normal
I am outraged.,Anger
"Right now, I can't stop the tears whenever I think about the event. I'm still processing everything.",Sad
"my teacher really crossed the line this time, I'm livid.",Anger
"Somehow, I shared the good news with my boss and we celebrated together. Life goes on, I suppose.",Happy
"I just realized I'm absolutely thrilled about the decision, it's the best news ever! I don't know what to do.",Happy
"Right now, I prepared a simple meal and watched some television.",Normal
"Looking back, Thinking about the interview fills me with an indescribable sadness.",Sad
"Every time I think about what happened, I get even more angry. I needed to get that off my chest.",Anger
"I just realized Today was such a wonderful day, everything went perfectly. I don't know what to do.",Happy
I am okay.,Normal
"Every time I think about what happened, I get even more angry. And that's just how it is.",Anger
I cried myself to sleep again last night because of the situation. I needed to get that off my chest.,Sad
I reviewed some documents and provided my standard feedback. I don't know what to do.,Normal
"Looking back, Losing my sister has left a hole in my heart that won't heal.",Sad
I am fine.,Normal
"To be honest, my friend never listens and it drives me absolutely insane. It is what it is.",Anger
I am feeling so wonderful.,Happy
"Getting the game was a dream come true, I'm overjoyed. I'll figure it out.",Happy
"At this point, I can't believe my sister did that to me, it's completely disgraceful! Just needed to share this.",Anger
"I need to vent — There wasn't much happening today, just the usual routine. I don't know what to do.",Normal
I am broken inside.,Sad
I need to vent — Why does the manager always find a way to ruin everything? Just needed to share this.,Anger
I just realized The day ended without any major issues or surprises.,Normal
"Honestly, I've had enough of my mother disrespecting me every single day. Life goes on, I suppose.",Anger
"I need to vent — Today was such a wonderful day, everything went perfectly. It's just too much.",Happy
Why does today feel so ordinary?,Normal
"At this point, Everything reminds me of she and the pain comes flooding back.",Sad
"At this point, he really crossed the line this time, I'm livid. And that's just how it is.",Anger
"I need to vent — I shared the good news with my father and we celebrated together. Life goes on, I suppose.",Happy
I yelled because I couldn't contain my frustration anymore. I don't know what to do.,Anger
I've had enough of they disrespecting me every single day.,Anger
I am so angry.,Anger
Waking up this morning I felt pure joy for the first time in ages. And that's just how it is.,Happy
"Honestly, There wasn't much happening today, just the usual routine. I needed to get that off my chest.",Normal
